姓名,身份证号,居住地,手机号,申请时间,单位名称,户籍所在地,申请产品类型,学历,社保评分,近12个月申请贷款次数,公积金账户当前状态,首次成为我行用户时年龄,税前年收入（元）,手机在网时长（月）
张伟,110101199001011234,北京市朝阳区,13800138000,2023/5/12,北京XX科技有限公司,河北省石家庄市,信用贷,大专,78,6,正常,22,58000,14
李芳,310101198802152345,上海市浦东新区,15900159000,2023/6/3,上海XX贸易有限公司,江苏省南京市,消费贷,高中,64,5,正常,24,42000,8
王强,440101199203203456,广州市天河区,18600186000,2023/4/18,广州XX餐饮管理公司,广东省湛江市,信用卡,本科,78,3,未缴纳,21,35000,24
刘梅,420101199504054567,武汉市武昌区,17700177000,2023/7/10,武汉XX教育咨询公司,湖北省襄阳市,信用贷,中专,77,4,正常,23,48000,12
陈明,320101198705125678,南京市玄武区,13900139000,2023/8/1,南京XX广告设计公司,江苏省徐州市,消费贷,高中,89,0,正常,25,30000,6
赵敏,510101199306186789,成都市锦江区,15800158000,2023/9/15,成都XX电商公司,四川省绵阳市,信用卡,大专,88,0,正常,20,52000,18
周杰,440301199107257890,深圳市南山区,18800188000,2023/10/5,深圳XX软件有限公司,广东省惠州市,信用贷,本科,83,0,正常,22,40000,4
吴婷,130101198908088901,石家庄市桥西区,17600176000,2023/11/20,石家庄XX服装店,河北省保定市,消费贷,高中,76,0,冻结,23,38000,10
郑浩,330101199409159012,杭州市西湖区,13500135000,2023/12/1,杭州XX物流有限公司,浙江省温州市,信用贷,大专,79,1,未缴纳,24,45000,20
孙丽,410101198610220123,郑州市金水区,15600156000,2024/1/14,郑州XX家政服务公司,河南省南阳市,信用卡,中专,84,0,冻结,26,50000,15
钱涛,420101199011051234,武汉市江汉区,13700137000,2023/3/15,武汉XX汽车维修店,湖北省宜昌市,消费贷,高中,85,0,未缴纳,23,41000,11
孙丽,440101198812182345,广州市越秀区,18900189000,2023/4/20,广州XX健身中心,广东省肇庆市,信用卡,大专,86,0,冻结,22,46000,7
